,month,year,vazao,data_ticks
434,8,2000,153.97899999999998,2000-8
435,9,2000,156.608,2000-9
436,10,2000,149.035,2000-10
437,11,2000,214.923,2000-11
438,12,2000,331.57599999999996,2000-12
439,1,2001,205.94099999999997,2001-1
440,2,2001,236.13,2001-2
441,3,2001,309.948,2001-3
442,4,2001,230.86700000000002,2001-4
443,5,2001,202.197,2001-5
444,6,2001,170.46,2001-6
445,7,2001,150.32399999999998,2001-7
446,8,2001,136.638,2001-8
447,9,2001,134.064,2001-9
448,10,2001,150.736,2001-10
449,11,2001,187.045,2001-11
450,12,2001,244.74200000000002,2001-12
451,1,2002,561.697,2002-1
452,2,2002,312.089,2002-2
453,3,2002,238.644,2002-3
454,4,2002,245.673,2002-4
455,5,2002,183.05,2002-5
456,6,2002,163.07,2002-6
457,7,2002,151.001,2002-7
458,8,2002,139.39600000000002,2002-8
459,9,2002,138.467,2002-9
460,10,2002,133.66,2002-10
461,11,2002,159.079,2002-11
462,12,2002,207.481,2002-12
463,1,2003,253.317,2003-1
464,2,2003,233.53400000000002,2003-2
465,3,2003,281.555,2003-3
466,4,2003,216.22799999999998,2003-4
467,5,2003,176.081,2003-5
468,6,2003,156.392,2003-6
469,7,2003,140.112,2003-7
470,8,2003,131.02700000000002,2003-8
471,9,2003,126.557,2003-9
472,10,2003,133.059,2003-10
473,11,2003,178.12,2003-11
474,12,2003,177.58900000000003,2003-12
475,1,2004,325.94599999999997,2004-1
476,2,2004,417.00300000000004,2004-2
477,3,2004,387.222,2004-3
478,4,2004,233.74,2004-4
479,5,2004,197.356,2004-5
480,6,2004,167.174,2004-6
481,7,2004,153.784,2004-7
482,8,2004,142.57399999999998,2004-8
483,9,2004,134.816,2004-9
484,10,2004,155.189,2004-10
485,11,2004,159.53799999999998,2004-11
486,12,2004,205.205,2004-12
487,1,2005,265.036,2005-1
488,2,2005,322.056,2005-2
489,3,2005,423.741,2005-3
490,4,2005,278.846,2005-4
491,5,2005,235.283,2005-5
492,6,2005,174.43900000000002,2005-6
493,7,2005,159.124,2005-7
494,8,2005,147.185,2005-8
495,9,2005,138.097,2005-9
496,10,2005,133.142,2005-10
497,11,2005,165.75599999999997,2005-11
498,12,2005,212.815,2005-12
499,1,2006,177.10299999999998,2006-1
500,2,2006,240.0,2006-2
501,3,2006,272.10200000000003,2006-3
502,4,2006,371.004,2006-4
503,5,2006,217.267,2006-5
504,6,2006,170.0,2006-6
505,7,2006,157.154,2006-7
506,8,2006,145.442,2006-8
507,9,2006,143.586,2006-9
508,10,2006,159.741,2006-10
509,11,2006,211.09,2006-11
510,12,2006,177.525,2006-12
511,1,2007,198.465,2007-1
512,2,2007,393.345,2007-2
513,3,2007,233.958,2007-3
514,4,2007,203.44299999999998,2007-4
515,5,2007,171.185,2007-5
516,6,2007,148.207,2007-6
517,7,2007,136.68,2007-7
518,8,2007,129.27,2007-8
519,9,2007,126.45,2007-9
520,10,2007,126.016,2007-10
521,11,2007,141.491,2007-11
522,12,2007,189.72799999999998,2007-12
523,1,2008,192.142,2008-1
524,2,2008,275.007,2008-2
525,3,2008,348.52099999999996,2008-3
526,4,2008,309.597,2008-4
527,5,2008,191.577,2008-5
528,6,2008,161.97799999999998,2008-6
529,7,2008,150.815,2008-7
530,8,2008,138.855,2008-8
531,9,2008,129.113,2008-9
532,10,2008,127.161,2008-10
533,11,2008,161.159,2008-11
534,12,2008,236.523,2008-12
535,1,2009,219.847,2009-1
536,2,2009,242.111,2009-2
537,3,2009,247.15599999999998,2009-3
538,4,2009,322.232,2009-4
539,5,2009,357.288,2009-5
540,6,2009,198.39700000000002,2009-6
541,7,2009,169.56099999999998,2009-7
542,8,2009,153.597,2009-8
543,9,2009,145.05200000000002,2009-9
